Exhibit Number,Description,Date,Keywords,File Type,Category,Priority
A-1,Exhibit A-1 to primary filing (part of A-1 to A-87 series),Unknown,exhibit a1 primary filing,pdf,INTEGRITY,5
A-87,Final exhibit in primary evidence book (A-1 through A-87),Unknown,exhibit a87 master index,pdf,INTEGRITY,5
N-1,Photo/note of -22°C car incident where Harper was left unattended,2026-01-04,car incident unattended infant cold,jpg,SAFETY,10
N-2,Environment Canada weather screenshot confirming -22°C conditions,2026-01-04,weather screenshot environment canada,png,SAFETY,9
N-3,Documentation of Respondent's requests for medical access,2026-01-06,medical access request email text,pdf,OBSTRUCTION,8
N-4,NBASW complaint receipt against social worker Jacqueline Gallant,2026-01-06,nbasw complaint receipt filed,pdf,INTEGRITY,8
N-5,Medical documentation or note regarding gastric distress,2026-01-06,pediatrician note gastric distress,pdf,SAFETY,8
N-6,Formal Notice of Judicial Liability sent to Saint John administrators,2026-01-05,judicial liability notice email registry,pdf,OBSTRUCTION,9
N-7,Office of the Child Advocate complaint receipt (filed),2026-01-06,child advocate complaint receipt,pdf,INTEGRITY,8
A-1,Police Email - Confirmation of arrest and Assault charge (Police File 25-2390069) against Applicant Emma Ryan,2025-09-26,police email assault charge arrest,pdf,PERJURY,10
A-2,Text message from Applicant Emma Ryan admitting to physical violence: 'I'm really sorry for hitting you Craig',2024-12-27,text message admission violence sorry hitting aggressor,jpg,PERJURY,10
A-3,Text exchange admitting meth use during pregnancy and potential exposure to infant,2024-12-10,text meth pregnancy admission exposure,jpg,SAFETY,10
A-4,"Photograph of Harper showing severe, medically significant diaper rash",2024-12-09,photo diaper rash neglect,jpg,SAFETY,8
A-5,Medical Review Officer (MRO) Report showing 'Negative - Dilute' drug test result for Applicant,2025-01-06,mro report drug test negative dilute,pdf,INTEGRITY,7
A-6,Photograph of Applicant Emma Ryan holding a meth pipe and propane torch,2025-05-22,photo meth pipe propane torch endangerment,jpg,SAFETY,10
A-7,Interim Parenting Order establishing legal access schedule,2025-10-06,interim parenting order access schedule,pdf,OBSTRUCTION,9
A-8,Email from Applicant declaring intent to block access: 'wont see harper until... october',2025-06-18,email access denial intent contempt,pdf,OBSTRUCTION,10
A-9,Call Recording Transcript: Jane Ryan (Grandmother) refusing court-ordered exchange,2025-10-22,audio transcript jane ryan contempt gatekeeping,pdf,OBSTRUCTION,10
A-10,Bank record screenshots showing E-Transfers to alleged drug supplier,Unknown,bank screenshots etransfers supplier diversion,jpg,FINANCIAL,8
A-11,Text message from Applicant admitting methamphetamine presence in breastmilk,2024-11-30,text meth breastmilk admission nursing,jpg,SAFETY,10
A-12,19-Page Signed Parenting Agreement ('Custody Xchange'),2025-01-22,parenting agreement custody xchange signed,pdf,INTEGRITY,7
A-13,Text messages contradicting kidnapping claim by providing immediate safety/location updates,2024-12-09,text location proof kidnapping contradiction,jpg,PERJURY,9
A-14,Email requesting medical records for Harper Ryan,2025-02-13,email request medical records,pdf,COMMUNICATION,6
A-15,Summary of Formal Complaint against Social Worker Jacqueline Gallant regarding biased drug testing,2025-02-08,complaint social worker gallant conflict bias,pdf,OBSTRUCTION,7
A-16,"Photo of meticulous health logs tracking feeding, diaper counts, and jaundice",2024-11-17,photo health log caregiving tracking,jpg,INTEGRITY,8
A-17,Text message character reference from Dawn Dixon (Ex-partner),2025-01-01,text character reference dawn dixon manipulation,jpg,INTEGRITY,5
A-18,Video Evidence - December 9 Incident showing assault and thrown object (frying pan),2024-12-09,video incident assault choking frying pan,mp4,SAFETY,10
A-21,Text message thread showing generalized hostility and verbal abuse from Applicant,2025-01-01,text abusive thread hostility dysregulation,jpg,COMMUNICATION,6
A-22,Detailed Contempt Log of 18 denied Sunday visits and 129 days of lost access,2025-11-13,log denied access Sundays contact blackout,pdf,OBSTRUCTION,10
A-1,Police Email from Constable Benjamin Cannon confirming Emma Ryan was arrested and charged with Assault (Police File 25-2390069).,2025-09-26,police email assault charge arrest,pdf,SAFETY,10
A-2,"Digital text admission where Applicant apologizes for hitting Respondent, stating she doesn't know what else to do when angry.",2024-12-27,text sorry hitting admission screenshot,jpg,PERJURY,10
A-3,Digital text screenshot where Applicant admits to drug use during pregnancy and Respondent confirms 48 hours since meth exposure.,2024-12-10,text meth pregnancy admission screenshot,jpg,SAFETY,10
A-4,"Photograph showing severe, medically significant diaper rash on infant Harper.",2024-12-09,photo diaper rash neglect medical,jpg,SAFETY,8
A-5,Official Medical Review Officer (MRO) Report confirming Applicant's drug test result was 'Negative - Dilute'.,2025-01-06,mro report emma ryan negative dilute,pdf,INTEGRITY,9
A-6,Photograph of Applicant Emma Ryan holding a meth pipe in one hand and a propane torch in the other.,2025-05-22,photo meth pipe torch endangerment,jpg,SAFETY,10
A-7,Sealed Interim Parenting Order from the Court of King's Bench establishing access schedule.,2025-10-06,signed interim order fdsj739,pdf,OBSTRUCTION,9
A-8,Email from Applicant declaring she will block access to the child until seeing a judge in October.,2025-06-18,email access denial intent,pdf,OBSTRUCTION,9
A-9,Transcript of a call where maternal grandmother Jane Ryan refuses a court-ordered exchange.,2025-10-22,transcript jane ryan contempt call,pdf,OBSTRUCTION,9
A-10,Screenshots of Applicant's bank records showing multiple E-Transfers to an alleged substance supplier.,Unknown,bank etransfer log supplier redacted,pdf,FINANCIAL,8
A-11,Text message from Applicant expressing worry about meth being passed through breastmilk.,2024-11-30,text meth breastmilk admission,jpg,SAFETY,10
A-12,19-page signed 'Custody Xchange' Parenting Agreement signed by both parents.,2025-01-01,signed custody agreement jan2025,pdf,INTEGRITY,7
A-13,Time-stamped text messages informing Applicant of child's safety and location shortly after an incident.,2024-12-09,text safety location proof kidnapping contradiction,jpg,PERJURY,9
A-14,Email from Respondent to medical records custodian requesting Harper's records for informed decision-making.,2025-02-13,email request medical records,pdf,COMMUNICATION,6
A-15,Procedural summary of complaint against social worker Jacqueline Gallant for biased drug test enforcement.,2025-01-14,complaint social worker gallant,pdf,INTEGRITY,7
A-16,"Photograph of meticulous health logs (feeding, weight, diapers) for Harper's first week.",2024-11-17,photo health log postpartum,jpg,INTEGRITY,8
A-17,Text message from Respondent's ex-partner Dawn Dixon addressing Applicant's manipulative patterns.,2025-01-01,text character reference dawn dixon,jpg,INTEGRITY,5
A-22,Contempt log confirming 18 denied Sunday visits and 129 consecutive days of lost access.,2025-03-24,contempt log denied visits sundays,pdf,OBSTRUCTION,10
A-56,Official MRO drug test report for Craig Schulz confirming a negative result for all screened substances.,2025-01-30,mro report craig schulz negative,pdf,INTEGRITY,9
A-83,Technical Summary Report confirming forensic integrity of digital files with SHA-256 hashes.,2025-11-10,pro se veritas technical summary,pdf,INTEGRITY,8
A-1,Police Email/Confirmation - Applicant Assault Criminal Charge (SJPF File No. 25-2390069),2025-09-26,police email assault charge,pdf,SAFETY,10
A-2,"Text Message Admission - ""I'm really sorry for hitting you Craig""",2024-11-21,text sorry hitting admission screenshot,jpg,SAFETY,10
A-3,Admission of Methamphetamine Use during Pregnancy/Postpartum,2024-12-10,meth admission pregnancy breastfeeding,pdf,SAFETY,10
A-4,Video Evidence - Applicant with Methamphetamine Paraphernalia (Pipe and Torch),2025-05-22,video meth pipe propane torch,mp4,SAFETY,10
A-5,"Applicant's Laboratory Drug Test Result: ""Negative - Dilute""",2025-01-06,drug test negative dilute evasion,pdf,INTEGRITY,9
A-6,Log of 18+ Consecutive Denials of Court-Ordered Access,2025-10-10,access denial log contempt,pdf,OBSTRUCTION,9
A-7,Email from Applicant admitting deliberate denial of access,2025-06-18,email admission access judge october,pdf,OBSTRUCTION,10
A-8,"Audio Recording - Jane Ryan stating ""take me to court yourself""",2025-10-22,audio recording jane ryan contempt,mp4,OBSTRUCTION,10
A-9,Photograph of Respondent's Facial Injuries (Black Eye),2024-10-01,photo black eye respondent assault,jpg,SAFETY,9
A-10,Evidence of Applicant Diverting Family Funds from Rent to Illicit Substances,2024-08-01,etransfer drug diversion tony baker,pdf,FINANCIAL,8
A-1,Photograph of Black Eye sustained by Craig Schulz after domestic incident.,2024-11-19,black eye craig schulz domestic incident,jpg,SAFETY,10
A-2,"Video Evidence Summary showing Applicant's aggression (mirror smashing, throwing objects).",2024-12-09,incident aggression mirror smashing video summary,mp4,SAFETY,9
A-3,"Text Message Admission of Violence: ""I'm really sorry for hitting you Craig...""",2024-11-21,text message admission violence emma ryan,png,PERJURY,10
A-4,Photograph documenting severe diaper rash neglected while in Applicant's care.,2024-12-09,harper diaper rash neglect medical photo,jpg,SAFETY,8
A-5,"Records of Health Tracking for Harper including feeding, milestones, and doctor notes.",Unknown,health tracking harper feeding milestones logs,pdf,INTEGRITY,6
A-6,"Screenshot of Applicant's Text Message: ""SHE IS NOT SAFE FROM ME CRAIG.""",2024-12-11,applicant text message risk safety admission,png,SAFETY,10
A-7,Communications proving Daily Contact Maintained after Dec 9th incident.,2024-12-09,daily contact communications refutation claim,pdf,COMMUNICATION,7
A-8,Documentation of Financial Support for Harper including savings fund records.,Unknown,financial support harper savings records,pdf,FINANCIAL,7
A-9,Documentation proving denial of 18 consecutive court-ordered Sunday visits.,2025-06-01,denial visits sunday court order contempt,pdf,OBSTRUCTION,10
A-10,Screenshot of 'Two Roofs One Home' Co-Parenting Application concept.,Unknown,two roofs one home app concept screenshot,png,COMMUNICATION,5
A-11,Records of Communication with J.R. regarding exchanges and interference.,Unknown,communication jane ryan interference logs,pdf,OBSTRUCTION,8
A-12,The Interim Court Order breached by the Applicant.,2025-03-22,interim court order breach contempt,pdf,OBSTRUCTION,9
A-13,Screenshots documenting denied access in direct breach of the court order.,2025-06-02,denied access screenshots breach court order,png,OBSTRUCTION,9
A-14,Documentation of current access denials including refusal of video calls.,Unknown,access denial video call refusal log,pdf,COMMUNICATION,8
A-15,Applicant email regarding False Breastfeeding Claim.,Unknown,breastfeeding claim email malicious fabrication,pdf,PERJURY,9
A-16,Respondent's Driving History and Conviction Record detailing 2019 DUI.,Unknown,driving history conviction record dui 2019,pdf,INTEGRITY,4
A-17,Documentation related to Respondent's 2021 Business Failure and Past Gambling Struggles.,Unknown,business failure gambling records accountability,pdf,INTEGRITY,4
A-18,"Video Evidence Summary showing Assault with Harper in arms on Dec 9, 2024.",2024-12-09,video assault harper in arms summary,mp4,SAFETY,10
A-19,Affidavit of Community Mentor corroborating Respondent's transformation.,Unknown,mentor affidavit transformation character,pdf,INTEGRITY,7
A-21,Financial Records showing E-Transfer Proof to alleged drug dealer.,2024-01-01,financial records etransfer drug dealer,pdf,FINANCIAL,10
A-22,Bank statement showing Respondent's deposit of $4000 and subsequent rent failure.,2024-08-01,bank statement deposit rent failure emma,pdf,FINANCIAL,8
B-1,Video of Emma Ryan cleaning/preparing a methamphetamine pipe.,2025-05-22,emma meth pipe video drug use,mp4,SAFETY,10
F-1,Screenshot of Facebook connection between Jacqueline Gallant and Applicant's brother.,Unknown,social worker facebook conflict interest,png,INTEGRITY,8
A-1,Police Confirmation of Assault Charge (SJPF File 25-2390069) - Proves criminal charge against Applicant for domestic violence.,2024-12-09,police confirmation assault charge sjpf,pdf,SAFETY,10
A-2,"Applicant text admission: ""Im really sorry for hitting you Craig"" - Direct admission of perpetrating violence.",2024-11-21,text sorry hitting admission screenshot,jpg,PERJURY,10
A-3,"Applicant text admission: ""meth in breastmilk for 5 days if not more"" - Evidence of prenatal/postnatal substance abuse.",2024-11-30,text admission meth breastmilk substance,jpg,SAFETY,10
A-5,Hospital records documenting Harper's birth and Applicant's distress during delivery consistent with drug use.,2024-11-12,hospital records birth distress drugs,pdf,INTEGRITY,7
A-6,Bank statements and E-transfers to known drug dealers - Evidence of financial mismanagement and drug funding.,2024-07-01,bank statements etransfer drug dealers,pdf,FINANCIAL,8
A-8,"Applicant email stating ""won't see Harper until October"" - Admission of intentional access denial.",2025-06-18,email refusal access october harper,pdf,OBSTRUCTION,9
A-9,"Jane Ryan text: ""take ME to court"" and threats of loss of parental rights.",2025-10-22,text jane ryan court threats,jpg,OBSTRUCTION,8
A-12,Interim Court Order issued by Master Maude granting Sunday access.,2025-03-22,interim court order sunday access,pdf,INTEGRITY,10
A-27,Respondent's Master Communication Log documenting 129 consecutive days of blackout.,2025-06-04,communication log access denial blackout,pdf,OBSTRUCTION,9
A-75,Photo evidence of Respondent's injuries (black eye) from Applicant assault.,2024-11-19,photo black eye respondent assault,jpg,SAFETY,10
B-1,Video evidence (IMG_B1) showing Applicant cleaning/preparing a methamphetamine pipe.,2025-05-22,video meth pipe emma cleaning,mp4,SAFETY,10
B-3,"Applicant drug test lab report: ""NEGATIVE – DILUTE"" indicating test circumvention.",2025-01-06,lab report drug test negative dilute,pdf,PERJURY,9
C-1,Photographic evidence of Harper with severe diaper rash documenting physical neglect.,2024-12-09,photo diaper rash harper neglect,jpg,SAFETY,8
F-2,Formal complaint filed with NBASW against social worker Jacqueline Gallant.,2025-02-10,nbasw complaint social worker Gallant,pdf,INTEGRITY,7
L-1,Master Video Log containing forensically certified video evidence on USB.,2025-11-14,master video log usb forensic,mp4,COMMUNICATION,10
A-1,Photograph of Black Eye (Craig Schulz) showing violence pattern,2024-11-19,photo black eye craig schulz violence,jpg,SAFETY,10
A-2,Text message from Emma Ryan admitting to hitting Craig,2024-11-21,text message admission hitting emma,png,PERJURY,10
A-3,"Video of violent outburst, property damage, and choking incident while holding child",2024-12-09,video choking assault harper frying pan,mp4,SAFETY,10
A-4,Medical Records - Emergency Room visit for injuries,2024-11-19,medical record emergency room injury,pdf,SAFETY,9
A-5,Medical Report - Negative Dilute urine sample result,2025-01-06,medical report negative dilute drug test,pdf,INTEGRITY,9
A-6,Screenshot/Video of Emma Ryan with active meth pipe and torch while child present,2025-05-22,meth pipe torch child present photo,jpg,SAFETY,10
A-7,Financial Records showing rent non-payment despite receiving funds,2024-08-01,rent nonpayment financial records ci bc,pdf,FINANCIAL,7
A-8,Email from Emma Ryan declaring intent to block access until October,2025-06-18,email access denial intent blockade,pdf,OBSTRUCTION,10
A-9,Audio Transcript of Jane Ryan refusing court-ordered access,2025-10-22,transcript jane ryan take me to court,pdf,OBSTRUCTION,9
A-14,Screenshots documenting 19 denied Sunday parenting visits,2024-08-18,screenshot denied visits calendar log,png,OBSTRUCTION,9
A-15,Formal complaint against Social Worker Jacqueline Gallant for Conflict of Interest,2025-02-08,complaint nbasw gallant conflict,pdf,INTEGRITY,8
A-21,E-Transfer records showing payments to Tony Baker (Alleged Drug Dealer),Unknown,etransfer drug dealer tony baker koh o,pdf,FINANCIAL,9
P-1,Saint John Police Force confirmation of criminal assault charge #25-2390069,2025-09-25,police file assault charge emma ryan,pdf,PERJURY,10
N-1,Video of infant Harper left unattended in vehicle at -22°C,2026-01-04,video harper car cold irving station,mp4,SAFETY,10
A-1,Police Email - Assault Charge Confirmation,2025-09-26,police email assault charge confirmation,pdf,PERJURY,10
A-2,Text Admission - I'm really sorry for hitting you,2024-12-09,text sorry hitting admission screenshot,jpg,PERJURY,10
A-3,Cole-Emma-Tony conversation re: December 9 incident,2024-12-09,cole emma tony conversation dec9,png,COMMUNICATION,10
A-4,Emma's December 9 threatening messages,2024-12-09,emma threatening message narrative truth,png,OBSTRUCTION,10
A-5,Emma-Harper assault documentation (December 9 incident),2024-12-09,emma harper assault documentation video,mp4,SAFETY,10
A-6,E-transfer records from Jane Ryan funding methamphetamine,2024-12-09,etransfer jane ryan drug funding,pdf,FINANCIAL,10
A-7,Proof of Access Denial - 129 consecutive days,2025-10-10,access denial 129 days timeline,pdf,OBSTRUCTION,10
A-8,Video - Reunion with Harper after 129-day denial,2025-10-10,reunion video harper father bond,mp4,INTEGRITY,10
A-9,Video - Maternal grandmother leaving infant in vehicle at -22C,2026-01-04,endangerment vehicle cold weather video,mp4,SAFETY,10
A-10,Emma admission text re: meth in breastmilk,2024-12-24,emma admission meth breastmilk,jpg,SAFETY,10
A-11,Photo - Methamphetamine paraphernalia and propane torch in home,2025-05-31,photo meth paraphernalia torch home,jpg,SAFETY,10
A-12,Hostile Emails from Emma Ryan - threats re: 'piss every day',2025-06-18,hostile email emma threats drug accusations,pdf,COMMUNICATION,8
A-13,Email thread re: Father's Day denial and violence admission,2025-06-15,fathers day denial email admission violence,pdf,OBSTRUCTION,10
A-14,iCash Loan Agreement (Source of SIN/Account Numbers),2024-11-01,icash agreement emma sin financial,jpg,FINANCIAL,5
A-15,Emma text admission re: banking card (wallet excuse rebuttal),2025-06-25,emma text drug debt banking card,jpg,INTEGRITY,7
A-1,Police Email - Assault Charge Confirmation,2025-09-26,police email assault charge,pdf,PERJURY,10
A-2,"Admission of Violence Text - ""I'm really sorry for hitting you""",2024-11-21,text sorry hitting admission screenshot,jpg,SAFETY,10
A-3,Video Recording - IMG_0667 involving drugs and knives,Unknown,video drugs knives baby luna,mp4,SAFETY,10
A-4,Formal Complaint PDF regarding Jane Ryan,2025-12-03,formal complaint jane ryan school district,pdf,INTEGRITY,7
A-5,Criminal Disclosure - Saint John Police Force File #25-2390069,Unknown,criminal disclosure police file 252390069,pdf,FINANCIAL,8
A-6,Evidence Integrity Certification - SHA256 hashing,2025-11-06,sha256 hash integrity certification,pdf,INTEGRITY,9
A-5,Evidence of Emma's substance abuse,Unknown,emma substance abuse proof,pdf,SAFETY,9
A-6,Evidence of Emma's substance abuse,Unknown,emma substance abuse proof additional,pdf,SAFETY,9
A-9,Evidence of Emma's contempt of court orders,Unknown,emma contempt court documentation,pdf,OBSTRUCTION,9
A-14,Evidence of Emma's contempt,Unknown,contempt evidence emma,pdf,OBSTRUCTION,9
A-35,Contempt documentation - denial of access,Unknown,access denial contempt 35,pdf,OBSTRUCTION,9
