Exhibit Number,Description,Date,Category,Priority,File Type,Keywords,Legal Significance,Status,Source
A-22,Financial screenshots showing e-transfers to known drug dealer Tony Baker,Unknown,FINANCIAL,10,jpg,etransfer screenshots drug dealer tony baker,Direct financial proof of diversion of family funds to illicit substances,Original - Screenshot,29
A-87,Affidavit of Dale Campbell stating commitment as backup guardian,2025-11-07,FINANCIAL,9,pdf,dale campbell affidavit backup guardian,Proves financial stability ($100k savings) and emergency support plan,Original - Sworn Affidavit,29
A-1,Police Email - Confirmation of Emma Ryan's arrest by RCMP in relation to domestic assault (File 25-2390069).,2025-09-26,SAFETY,10,pdf,police email emma ryan arrest domestic assault,Verifies criminal charges resulting from conduct depicted in video evidence.,Original - Government Record,30
A-2,"Text message screenshot - Emma Ryan admitting to hitting Craig Schulz: ""I'm really sorry for hitting you Craig.""",2024-11-22,PERJURY,10,jpg,text sorry hitting emma craig admission,Direct admission of family violence; refutes applicant's sworn statements.,Original - Screenshot,30
A-3,Medical Review Officer's Report - Craig Schulz comprehensive drug test reporting negative results for all substances.,2025-01-30,INTEGRITY,9,pdf,craig schulz negative drug test mro,Refutes allegations of drug use and demonstrates fitness as a parent.,Original - Government Record,30
A-4,Photograph - Severe diaper rash on Harper Ryan discovered on the night of emergency removal.,2024-12-09,SAFETY,10,jpg,harper diaper rash neglect medical,Direct photographic evidence of medical neglect and poor childcare standards.,Original,30
A-5,Text message screenshot - Emma Ryan admitting to methamphetamine exposure to Harper via breastmilk.,2024-11-30,SAFETY,10,jpg,meth breastmilk admission emma harper,Establishes urgent need for protective orders due to direct drug exposure to infant.,Original - Screenshot,30
A-6,Photograph - Emma Ryan holding and cleaning a methamphetamine pipe.,2025-05-22,SAFETY,10,jpg,emma meth pipe cleaning active drug use,Contemporaneous evidence of active substance abuse during custody period.,Original,30
A-7,"Medical Review Officer's Report - Emma Ryan drug test flagged as ""Negative Dilute.""",2025-01-06,INTEGRITY,8,pdf,emma ryan negative dilute drug test,Suggests potential masking of drug use; reliability of result is legally questionable.,Original - Government Record,30
A-8,"Facebook Messenger Log - Jane Ryan stating ""if you want to see the baby you can take me to court,"" refusing access.",2025-10-19,OBSTRUCTION,9,pdf,jane ryan contempt take me to court access denial,Documented contempt of the October 6 Interim Order by Applicant's agent.,Original - Transcript,30
A-9,Financial Records - PLATINUM ROOFING INC. e-Transfer deposits to Emma Ryan totaling thousands of dollars.,2024-07-01,FINANCIAL,7,jpg,platinum roofing deposits emma ryan support,Proves financial support and refutes claims of abandonment.,Original,30
A-10,Text message log - Social Worker Jacklyn denying conflict of interest despite Facebook friendship with Emma's brother.,2024-09-01,INTEGRITY,9,jpg,jacklyn social worker conflict interest disclosure,Evidence of professional misconduct and bias in child protection assessment.,Original - Screenshot,30
A-11,"Facebook Messenger Log - Emma Elizabeth stating she will ""never ever take her from you.""",2024-11-20,COMMUNICATION,6,jpg,emma never take baby from you text,Contradicted by subsequent 129-day access denial; proves lack of credibility.,Original - Screenshot,30
A-12,Photograph - Mirror in apartment showing meticulous health and diaper logs created by Craig Schulz.,2024-11-17,INTEGRITY,7,jpg,mirror health log harper meticulous care,Documents high standard of care and commitment by the respondent.,Original,30
A-1,"Police Confirmation of Arrest (Sept 26, 2025). Documents official police record of arrest related to domestic assault charge.",2025-09-26,SAFETY,10,pdf,police arrest confirmation assault,Proves criminal arrest of applicant for domestic violence,Original - Official Record,31
A-2,"Text Admission of Violence (Dec 27, 2024). Text message where applicant admits to physical or verbal violence.",2024-12-27,PERJURY,10,jpg,text admission violence screenshot,Direct admission of violence contradicting later filings,Screenshot,31
A-3,"Admission of Meth Use During Pregnancy (Dec 10, 2024). Text confirmation of drug use while pregnant.",2024-12-10,SAFETY,8,jpg,meth use pregnancy admission text,Proves substance abuse endangerment of child,Screenshot,31
A-4,"Photograph of Severe Diaper Rash (Dec 9, 2024). Shows physical signs of medical neglect.",2024-12-09,SAFETY,9,jpg,diaper rash neglect photo,Evidence of medical neglect and lack of child care,Original Photo,31
A-5,"Medical Report - Drug Test: Negative Dilute (Jan 6, 2025). Indicates a likely attempted drug test evasion.",2025-01-06,INTEGRITY,8,pdf,drug test negative dilute report,Suggests concealment of ongoing substance abuse,Copy - Medical Report,31
A-6,"Photograph of Meth Pipe & Propane Torch (May 22, 2025). Shows active drug paraphernalia in child's environment.",2025-05-22,SAFETY,9,jpg,meth pipe torch drug photo,Proves ongoing substance abuse and dangerous environment,Original Photo,31
A-7,"Interim Parenting Order (Oct 6, 2025). Official court order detailing parenting access and supervisor roles.",2025-10-06,COMMUNICATION,7,pdf,interim parenting order maude,Foundational order used to track contempt and access,Court Record,31
A-8,"Email: Access Denial (June 18, 2025). Email from applicant explicitly denying court-ordered access.",2025-06-18,OBSTRUCTION,10,pdf,email access denial obstruction,Direct evidence of intentional contempt of court,Original - Email Copy,31
A-9,"Jane Ryan Contempt Admission (Oct 22, 2025). Audio/Transcript admission of role in access denial.",2025-10-22,OBSTRUCTION,10,pdf,jane ryan contempt admission,Proves third-party 'architect' of access denial,Transcript,31
A-10,E-Transfers to Drug Supplier (Multiple). Financial records showing payments for illegal substances.,Unknown,FINANCIAL,8,pdf,etransfer drug supplier payment,Financial proof of procurement of controlled substances,Bank Record,31
A-11,"Admission of Meth in Breastmilk (Nov 30, 2024). Text admission of drug use while nursing Harper.",2024-11-30,SAFETY,10,jpg,meth breastmilk admission text,Critical endangerment evidence involving direct child harm,Screenshot,31
A-13,"Contradicting Kidnapping Claim (Dec 9, 2024). Evidence disproving applicant's false kidnapping narrative.",2024-12-09,PERJURY,8,jpg,kidnapping claim contradiction text,Undermines applicant credibility regarding emergency filing,Screenshot,31
A-14,"Medical Records Request (Feb 13, 2025). Proactive request for child's health history by respondent.",2025-02-13,INTEGRITY,5,pdf,medical records request harper,Demonstrates fitness and proactive parenting focus,Original Email,31
A-16,"Health Tracking Log Photo (Nov 17, 2024). Record of newborn health maintenance by respondent.",2024-11-17,INTEGRITY,5,jpg,health tracking log newborn,Proves superior caregiving capability by respondent,Photograph of Log,31
A-17,Character Reference - Ex-Partner (Jan 2025). Statement confirming respondent's stable long-term history.,2025-01-01,INTEGRITY,8,jpg,character reference ex partner,Refutes allegations of long-term violence/instability,Screenshot,31
A-22,Contempt Log - 18 Denied Sundays (129+ Days). Detailed record of all access violations.,Unknown,OBSTRUCTION,10,pdf,contempt log 129 days denial,Mathematical proof of systematic parental alienation,Log Entry,31
A-56,"Respondent's Drug Test: Clean/Negative (Jan 30, 2025). Negative result for all controlled substances.",2025-01-30,INTEGRITY,8,pdf,respondent negative drug test,Proves sobriety and stability of respondent,Official Medical Record,31
A-76,"Respondent's Injury Photographs (Dec 10, 2024). Photos of physical injuries sustained by respondent during domestic incident.",2024-12-10,SAFETY,10,jpg,respondent injury photo assault,Physical proof that respondent was the victim of violence,Original Photo,31
A-79,FaceTime with Unknown Male (Apr 2025). Interaction involving child and unidentified associate of applicant.,2025-04-01,SAFETY,7,jpg,facetime unknown male video,Endangerment and associate risk factors,Screenshot,31
A-84,"Integrity Certification (Nov 5, 2025). Professional certification of file hash and authenticity.",2025-11-05,INTEGRITY,10,pdf,evidence integrity certification,Cryptographic proof that evidence has not been altered,Original System Document,31
A-1,Police Confirmation of Arrest - Email from Constable Benjamin Cannon confirming Emma Ryan's arrest for domestic assault,2025-09-26,SAFETY,10,pdf,police email assault charge,Third-party government confirmation of domestic violence charge against Applicant,Original - Government Record,32
A-2,Text message from Emma Ryan admitting to hitting Craig Schulz,2024-11-21,PERJURY,10,jpg,text apology hitting admission screenshot,Direct admission of physical violence by Applicant; refutes allegations of being the victim,Original - Screenshot,32
A-3,Admission of Methamphetamine use during pregnancy and postpartum in text exchange,2024-12-10,SAFETY,10,jpg,text meth pregnancy admission screenshot,Admits to exposing the child to illicit substances during critical developmental periods,Original - Screenshot,32
A-4,Photograph of severe diaper rash on Harper Ryan while in Applicant's care,2024-12-09,SAFETY,8,jpg,photo diaper rash neglect,Evidence of physical neglect and failure to provide basic hygiene/care,Original - Photograph,32
A-5,Applicant's drug test result reported as 'Negative - Dilute',2025-01-06,INTEGRITY,7,pdf,drug test negative dilute report,Suggests willful evasion or attempt to mask substance use,Original - Medical Record,32
A-6,Photograph of Applicant handling a meth pipe and propane torch in the home,2025-05-22,SAFETY,10,jpg,photo meth pipe torch endangerment,Direct visual evidence of active drug use and extreme fire hazard in child's environment,Original - Photograph,32
A-8,Email from Applicant declaring intent to block parenting time until October court date,2025-06-18,OBSTRUCTION,9,pdf,email access denial intent,Proof of willful and malicious intent to breach court-ordered access,Original - Email,32
A-9,Call recording transcript where Jane Ryan refuses a court-ordered exchange,2025-10-22,OBSTRUCTION,9,pdf,transcript jane ryan contempt call,Evidence of third-party interference and contempt directed by the maternal family,Original - Transcript,32
A-10,Bank record screenshots showing E-transfers to an alleged drug supplier,2024-08-01,FINANCIAL,8,png,etransfer bank supplier drug screenshot,Corroborates diversion of funds toward illicit activities and financial mismanagement,Original - Screenshot,32
A-11,Text admission regarding 'meth in breastmilk' for 5 days or more,2024-11-30,SAFETY,10,jpg,text meth breastmilk exposure admission,Critical evidence of active postpartum drug use and child poisoning/endangerment,Original - Screenshot,32
A-12,Signed Parenting Agreement through Custody Xchange,2025-01-22,COMMUNICATION,6,pdf,parenting agreement signed january,Establishes a baseline agreement later breached by the Applicant,Copy - Signed Document,32
A-22,Contempt Log documenting 18 denied Sundays and 129 consecutive days of isolation,2025-10-09,OBSTRUCTION,10,pdf,contempt log denied access isolation,Quantifiable proof of massive and systemic violation of court-ordered parenting time,Original - Log,32
A-56,Respondent's (Craig Schulz) Negative Drug Test Result,2025-01-30,INTEGRITY,8,pdf,craig drug test negative report,Affirms Respondent's sobriety and fitness as a parent,Original - Medical Record,32
B-1,Affidavit of Unconditional Financial Commitment from Respondent's Uncle,2025-11-14,FINANCIAL,7,pdf,affidavit financial support uncle dale,Provides evidence of a stable financial safety net for the child,Original - Sworn Document,32
L-1,Master Video Log Index of irrefutable visual evidence of violence and drug use,2025-11-10,SAFETY,10,mp4,master video log evidence mp4,Contains irrefutable proof of domestic assault and active endangerment of the child,Original - Video Collection,"32, 33"
A-1,Police Record - Assault Charge Confirmation,2025-09-26,PERJURY,10,pdf,police email assault charge,Proves criminal charge against applicant; demonstrates inconsistency with previous statements.,Original - Government Record,Example Output
A-2,Text Message Admission - Violence Statement,2024-11-21,PERJURY,10,jpg,text sorry hitting admission screenshot,Direct admission of perpetrating violence; critical for credibility assessment.,Original - Screenshot,Example Output
A-3,Judicial Decision - Re Drake and Minister for Immigration and Ethnic Affairs No 2,1979-01-01,INTEGRITY,6,pdf,drake minister immigration ethnic affairs,Landmark decision acknowledging the ability of merits review to correct injustice.,Copy,34
A-4,High Court Decision - Attorney-General (NSW) v Quin,1990-01-01,INTEGRITY,7,pdf,nsw quin attorney general,Establishes constitutional demarcation between legality and substantive correctness.,Copy,34
A-5,High Court Decision - Dietrich v The Queen,1992-01-01,SAFETY,9,pdf,dietrich queen stay representation,Recognized right to stay a trial for serious charges until legal representation is provided.,Copy,34
A-6,UK Supreme Court Decision - R (Begum) v Special Immigration Appeals Commission,2021-01-01,OBSTRUCTION,8,pdf,begum immigration appeals commission,Addresses practical injustice and the inability to present an appeal effectively due to security restrictions.,Copy,34
A-7,Australian Legal Services Directions 2017,2017-01-01,COMMUNICATION,5,pdf,legal services directions model litigant,Contains model litigant rules requiring government to act fairly and honestly in litigation.,Original - Government Record,34
A-8,Child Welfare Report - Suspected Abuse Case,Unknown,SAFETY,10,pdf,child abuse report sdds,Critical evidence for child protection proceedings and removal of child from home.,Original,"35, 36"
A-9,Financial Statement - Joint Family Venture Assets,Unknown,FINANCIAL,7,pdf,financial statement joint family venture assets,Used to prove unjust enrichment and claim share of assets in common-law separation.,Original,36
A-1,"Photograph of black eye sustained November 19, 2024, following alleged assault by Applicant.",2024-11-19,SAFETY,10,jpg,black eye photo assault injury,Proves physical injury from domestic violence and danger to Respondent/child.,Original - Photo,"37, 38"
A-2,"Text message admission from Emma Ryan: ""I'm really sorry for hitting you Craig...""",2024-11-21,PERJURY,10,jpg,text sorry hitting admission screenshot,Direct written admission of physical violence; refutes Applicant's claims of being the victim.,Original - Screenshot,"37, 38"
A-3,Email thread documenting threats and intimidation by Applicant.,Unknown,COMMUNICATION,7,pdf,email threats intimidation darvo,Evidence of abusive communication pattern and litigation strategy.,Copy,38
A-4,Medical Records - Emergency Room Visit (Nov 2024) documenting injuries to Respondent.,2024-11-01,SAFETY,9,pdf,medical records er visit injuries,Independent medical corroboration of physical assault.,Copy,38
A-5,Police Report regarding Domestic Assault incident.,2024-01-01,SAFETY,9,pdf,police report domestic assault corroboration,Third-party law enforcement confirmation of domestic violence reported.,Copy,38
A-6,"Screenshot of Emma Ryan admitting to ""Methamphetamine Use"".",Unknown,SAFETY,10,jpg,screenshot meth use admission,Critical evidence of substance abuse endangering the child's environment.,Original - Screenshot,38
A-7,Financial Records showing Rent Non-Payment by Applicant.,2024-08-01,FINANCIAL,5,pdf,financial records rent nonpayment,Shows financial instability and neglect of basic household obligations.,Original,38
A-8,"Text message from Applicant stating ""I'm not getting anything nutritious..."" regarding child's care.",Unknown,SAFETY,8,jpg,text neglect nutritious food,Direct admission of neglect and failure to provide proper nutrition for child.,Original - Screenshot,38
A-9,Communication from Supervisor regarding concerns about placement/fitness.,Unknown,INTEGRITY,8,pdf,supervisor email placement concerns,Third-party professional assessment of parental unsuitability.,Copy,38
A-14,Detailed Contempt Log and Screenshots documenting 19 Denied Sunday Visits.,2024-08-18,OBSTRUCTION,10,pdf,contempt log denied visits screenshots,Proves willful and systematic violation of court-ordered parenting time.,Original,38
A-15,Employment Record confirming Craig Schulz's stable roofing job.,Unknown,FINANCIAL,6,pdf,employment record job stability,Establishes Respondent's financial stability and ability to support the child.,Original,38
A-22,Bank account screenshots showing e-transfers to alleged drug supplier.,Unknown,FINANCIAL,10,jpg,bank screenshots etransfer drug supplier,Proves diversion of child support funds to illegal drug transactions.,Original - Screenshot,"37, 38"
A-34,Screenshot of group chat discussing substance use concerns by Applicant.,Unknown,SAFETY,8,jpg,group chat substance use pattern,Corroborates a consistent pattern of drug use in the home.,Original - Screenshot,38
A-66,Affidavit from family member serving as a relative character reference.,Unknown,INTEGRITY,5,pdf,affidavit character reference family,Collateral support for Respondent's parental fitness.,Original,38
A-84,Video Footage: Harper discussing comfort and bond with Craig.,Unknown,COMMUNICATION,9,mp4,video harper comfort dada,Direct evidence of child's attachment and voice regarding the Respondent.,Original - Digital,38
A-87,Video Footage: Expert Commentary providing Best Interest Analysis.,Unknown,INTEGRITY,7,mp4,video expert commentary analysis,Professional opinion supporting the child's welfare in Respondent's care.,Original - Digital,38
L-1,Master Video Exhibit Log - Index of all digital video evidence.,2025-11-03,INTEGRITY,8,pdf,master video log index,Procedural document required to admit critical visual evidence of safety risks.,Original,38
A-1,Photograph of Black Eye (Craig Schulz) showing physical injury from violence/abuse,2024-11-01,SAFETY,10,jpg,photo black eye craig schulz violence abuse,Proves physical violence and abuse pattern by Applicant,Original,39
A-2,"Text Messages from Emma Ryan admitting ""Beat the shit out of me"" and ""I'm really sorry for hitting you Craig""",Unknown,PERJURY,10,jpg,text emma beat sorry hitting craig admission,Direct admission of domestic violence by Applicant; refutes claims of non-violence,Screenshot,39
A-3,"Email Thread showing threats, intimidation, and DARVO strategy evidence",Unknown,COMMUNICATION,8,pdf,email thread threats intimidation darvo strategy,Evidence of malicious litigation strategy and psychological abuse,Original,39
A-4,Medical Records and Video Summaries - Emergency Room Visit documenting injuries,2024-11-01,SAFETY,10,pdf,medical records emergency room injury visit documentation,Third-party medical corroboration of physical assault,Copy,39
A-5,Police Report #2024-XXXX regarding Domestic Assault/Assault Charge Confirmation,2024-12-09,SAFETY,10,pdf,police report domestic assault charging confirmation sjpf,Official government record of criminal conduct and family violence,Original - Government Record,39
A-6,"Screenshot - Emma Ryan admission of ""Methamphetamine Use""",Unknown,SAFETY,10,png,screenshot methamphetamine use admission substance abuse,Evidence of substance abuse impacting child safety and parental fitness,Screenshot,39
A-14,Screenshots documenting 19 Denied Sunday Visits and parental alienation,2024-08-18,OBSTRUCTION,9,jpg,screenshots denied sunday visits parental alienation contempt,Proves willful contempt of court order and pattern of alienation,Screenshot,39
A-22,Financial Records/Bank Statements showing e-transfers for substance transactions,Unknown,FINANCIAL,9,pdf,financial records etransfer substance transaction bank statements,Proves financial diversion for illegal activities and child endangerment,Original,39
A-84,Video #1 - Harper discussing comfort and relationship with Craig Schulz,Unknown,COMMUNICATION,10,mp4,video harper comfort craig childs voice,Direct evidence of child's voice and attachment to Respondent,Original,39
L-1,Master Video Exhibit Log - Index of digital files showing assault and perjury refutation,2025-11-03,INTEGRITY,10,pdf,master video log index digital evidence,Index of critical visual evidence documenting assault and lack of veracity,Original,39
A-1,"Police Assault Charge File No. 25-2390069 and arrest record (Sept 23, 2025) involving Applicant",2025-09-23,PERJURY,10,pdf,police assault charge arrest record 252390069,Validates Respondent's Dec 9 testimony and contradicts Applicant's claims; proves criminal charge,Original - Government Record,40
A-2,"Text Message Admission - ""I'm really sorry for hitting you Craig""",2024-11-21,PERJURY,10,jpg,text sorry hitting admission screenshot,Direct admission of perpetrating violence; establishes violence pattern,Original - Screenshot,40
A-4,Video Recording - Applicant throwing objects while holding infant,2024-11-19,SAFETY,10,mp4,video violence throwing infant,Objective documentation of violence and parental unfitness,Original,40
A-9,Access Denial Documentation - Photographic/written proof of denied Sunday visits,2025-06-04,OBSTRUCTION,9,pdf,access denial visit proof,Establishes systematic violation of court order and parental alienation,Copy,40
A-13,"Text Message Admission - ""access will be withheld until October""",2025-06-18,OBSTRUCTION,10,jpg,text access withheld contempt intent,Direct admission of intent to commit contempt of court,Original - Screenshot,40
A-35,Drug Test Results - Negative Dilute result with Medical Review Officer (MRO) notation,2025-01-08,INTEGRITY,8,pdf,drug test negative dilute mro,Technical evidence of drug use concealment and test manipulation,Original,40
A-66,Financial Records - E-transfers to alleged drug dealer Tony Baker,2025-01-01,FINANCIAL,7,pdf,etransfer bank statement drug dealer,Substantiates substance abuse claims and diversion of family expenses,Copy,40
A-81,Medical Records - Pediatric notes regarding severe diaper rash,2024-11-15,SAFETY,6,pdf,medical pediatric diaper rash neglect,"Suggests inadequate hygiene, care, and medical neglect",Original,40
A-82,"Medical Record - Hospital discharge with provider comment (""Your secret is safe with me"")",2024-11-12,INTEGRITY,9,pdf,hospital discharge provider comment secret,Evidence of prenatal substance abuse concealment by healthcare provider,Original,40
A-87,Witness Affidavit - Amber Campbell regarding Oct 6 hearing bias,2025-10-06,COMMUNICATION,8,pdf,affidavit amber campbell hearing bias,Documents procedural unfairness and judicial bias during court proceedings,Original,40
A-1,Master Evidence Log - Chronological log of key events and communications,2025-11-03,COMMUNICATION,8,pdf,master evidence log chronology communications,Provides a full factual record of events and communications to prove patterns of behavior,Original,41
A-2,Text Message Admission - Emma Ryan admitting to hitting Craig Schulz,2024-11-21,PERJURY,10,jpg,text sorry hitting admission screenshot,Direct evidence of physical violence admission; refutes applicant's claims of being the victim,Original - Screenshot,41
A-3,Text Exchange - Applicant admits drug use during pregnancy and post-delivery,2024-12-10,SAFETY,10,png,text drug use admission meth pregnancy,Documents prenatal and postnatal substance endangerment,Original - Screenshot,42
A-4,Photograph - Severe diaper rash healing while in Respondent's care,2025-05-24,SAFETY,7,jpg,photo diaper rash healing neglect,Documents medical neglect while in Applicant's care and proactive care by Respondent,Original,"41, 43"
A-7,Communication Log - Daily contact updates and police wellness check records,2024-12-09,COMMUNICATION,6,pdf,police wellness check communication log,Refutes Applicant's claim of no contact and proves Respondent's attentive care,Copy,"41, 43"
A-10,Screenshot - 'Two Roofs One Home' Parenting Application concept and tracking,2025-11-03,COMMUNICATION,5,png,app screenshot milestone tracking parenting,Demonstrates Respondent's proactive and organized parenting commitment,Original - Screenshot,"41, 43"
A-18,"Video Summary - Dec 9, 2024 incident showing Applicant's aggression",2024-12-09,SAFETY,10,pdf,video summary assault aggression frying pan,Visual proof of Applicant's violence and child endangerment,Original,"41, 43"
A-19,Respondent's Driving History - Record including 2019 DUI,2025-11-03,INTEGRITY,4,pdf,driving history dui conviction record,Respondent's proactive disclosure of past errors to demonstrate transparency,Copy - Government Record,"41, 43"
A-20,Financial Documentation - Past gambling and business failure records,2021-12-31,FINANCIAL,4,pdf,business failure gambling financial struggle,Full disclosure of past financial struggles to highlight recovery,Copy,"41, 43"
A-21,Affidavit from Tom Daly - Community character reference/mentor,2025-11-03,INTEGRITY,7,pdf,affidavit mentor tom daly character reference,Third-party corroboration of Respondent's transformation and stability,Original,"41, 43"
A-22,Financial Record - Screenshots of e-transfers to Third Party A (drug dealer),2024-08-01,FINANCIAL,9,jpg,etransfer drug dealer financial record,Proves diversion of family funds toward illicit drug purchases,Original - Screenshot,"41, 43"
B-1,Video - Applicant cleaning a meth pipe in the maternal home,2025-05-20,SAFETY,10,mp4,video meth pipe cleaning paraphernalia,Visual proof of drug paraphernalia and active drug use in child's environment,Original,"42, 43"
L-1,Master Video Exhibit Log - Index and summary of all video evidence,2025-11-03,COMMUNICATION,8,pdf,master video log index evidentiary summary,Provides structure and chain of custody for all digital media submitted,Original,"41, 43"
A-87,Signed Parental Agreement - Document signed by Emma Ryan,2025-01-22,INTEGRITY,9,pdf,parental agreement signed emma ryan,Refutes prior abuse claims as tactical since she agreed to parenting with 'abuser',Copy,"41, 43"
A-2,Text Admission - I'm really sorry for hitting you,2024-11-21,PERJURY,10,jpg,text sorry hitting admission screenshot,Direct admission of perpetrating violence,Original - Screenshot,44
A-3,Hospital records or 911 log for Cyanosis incidents,2025-11-01,SAFETY,10,pdf,cyanosis 911 hospital medical record,Evidence of life-threatening medical neglect and child endangerment,Copy,45
A-4,Photo and Weather Report - Unattended child in car at -22C,2026-01-05,SAFETY,10,png,car incident freezing cold unattended,Direct evidence of criminal negligence and child endangerment,Original - Photo/Screenshot,45
A-5,Video of grandmother leaving child unattended at gas station,2026-01-05,SAFETY,10,mp4,irving video unattended child car,Visual proof of lack of urgency and endangerment by caregiver,Original,45
A-6,Records of 129-day access denial,2025-06-04,OBSTRUCTION,9,pdf,access denial timeline harper,Evidence of systematic parental alienation and breach of parenting patterns,Original,"44, 45"
A-7,Emails regarding Father's Day access denial,2025-06-15,COMMUNICATION,8,pdf,fathers day denial email,Pattern of intentional communication breakdown and interference,Copy,44
A-8,Receipt of NBASW and Child Advocate complaints,2026-01-06,INTEGRITY,7,pdf,nbasw complaint child advocate receipt,Evidence of father using proper channels to report systemic failures,Original,45
A-9,CRA Payment Notices - GST and Carbon Tax rebates,2026-01-09,FINANCIAL,6,pdf,cra gst carbon rebate tax,Proves financial stability and compliance with government regulations,Original,45
A-10,Photos of child's bedroom and safety modifications,2026-01-11,SAFETY,7,jpg,bedroom smoke detector home safety,Demonstrates father's readiness to provide safe home environment,Original,45
A-1,Text message apology from Emma to Craig justifying actions and claiming sole care of Harper.,2024-11-19,COMMUNICATION,7,jpg,text emma apology actions harper care,"Evidence of Emma's admission of past behavior and claims of being the sole caregiver, establishing a history of care.",Original - Text Message,46
A-2,Craig accusing Emma of abandoning daughter to use drugs.,2025-06-12,SAFETY,9,jpg,text craig accusation abandonment drugs harper,Direct allegation of drug-related child endangerment and abandonment.,Original - Screenshot,46
A-3,Text message where Emma accuses Craig of assault and drug seeking behavior.,Unknown,INTEGRITY,8,jpg,text emma assault drugs trash apartment,Counters the applicant's claims by alleging domestic violence and drug seeking.,Original - Screenshot,46
A-4,Text regarding drug transaction arrangement and delivery to mailbox.,2024-10-06,INTEGRITY,10,jpg,text drug delivery mailbox conceal craig,Smoking gun evidence of drug procurement and concealment from the co-parent.,Original - Screenshot,46
A-5,Physical assault evidence - Emma hitting Craig 50 times in the face.,Unknown,SAFETY,10,mp4,physical assault punches face violence,Critical evidence of domestic violence perpetrated by the mother.,Original - Recorded Incident,46
A-6,Emma's official iCash Pre-Authorized Debit form for a payday loan.,2024-10-11,FINANCIAL,5,pdf,icash document payday loan emma ryan,Establishes financial instability and debt obligations of the mother.,Original - Official Document,46
A-7,Emma's statement/affidavit alleging systemic abuse and requesting full custody.,2024-12-14,PERJURY,9,pdf,emma affidavit custody abuse allegations,Primary legal filing detailing the mother's version of events and specific safety concerns.,Original - Court Filing,46
A-8,Craig's photo documenting facial injuries from Emma's rage.,2024-12-10,SAFETY,10,jpg,photo craig injuries bruises face emma,Physical evidence of domestic battery and injury to the co-parent.,Original - Photo,46
A-9,Screen recording of a suspicious male fleeing Emma's residence.,2025-04-XX,SAFETY,7,mp4,video recording male running driveway residence,Evidence of potentially dangerous third parties at the child's residence.,Original - Screen Recording,46
A-10,Email from Emma restating unilateral denial of access to Harper.,2025-06-18,OBSTRUCTION,8,pdf,email emma access denial harper judge,Evidence of interference with parenting time and non-compliance with co-parenting norms.,Original - Email,46
A-1,Dimitra Pantazopoulos Written Brief submitted to the Committee,2024-02-27,SAFETY,8,pdf,dimitra pantazopoulos brief survivor story fear children safety,Provides survivor testimony on the role of fear and safety concerns in domestic violence.,Original,47
A-2,Witness 1 Oral/Written Evidence to the Standing Committee on the Status of Women,2024-10-23,PERJURY,9,pdf,witness 1 evidence domestic violence legal advice family court,Demonstrates the systematic suppression of abuse allegations in family court proceedings.,Original,47
A-3,Kamal Dhillon Oral/Written Evidence to the Standing Committee on the Status of Women,2024-10-07,INTEGRITY,7,pdf,kamal dhillon evidence survivor story domestic violence voice,Personal testimony regarding the cycle of abuse and the public platform of survivors.,Original,47
A-4,Canadian Centre for Women’s Empowerment Research Report (Ottawa region),2021-01-01,FINANCIAL,10,pdf,economic abuse research 2021 ottawa gender based violence,Proves high prevalence (95%) of economic abuse and debt coercion in violence cases.,Original,47
A-5,Supreme Court of Canada Decision - Dunmore v. Mehralian,2025-06-01,OBSTRUCTION,10,pdf,dunmore mehralian 2025 scc 20 coercive control family violence,Recognizes coercive control as a form of family violence in Canadian law.,Copy,47
A-6,Mass Casualty Commission Final Report - Turning the Tide Together,2023-03-30,SAFETY,10,pdf,mass casualty commission final report nova scotia gunman violence,Links systemic failures to recognize coercive control to a mass casualty event.,Original,47
A-7,DCFS Form SS 8572 - Suspected Child Abuse Report (SCAR),2025-10-10,COMMUNICATION,9,pdf,ss 8572 scar suspected child abuse report form dcfs,The primary mandated written report for suspected child abuse or neglect.,Original,48
A-8,DCFS 196 - Notice of Referral Closure,2025-10-10,COMMUNICATION,5,pdf,dcfs 196 notice referral closure mandated reporter feedback,Official notification to reporting parties regarding the disposition of a report.,Original,48
A-9,JV-210 - Application to Commence Juvenile Court Proceedings by Affidavit,2025-10-10,INTEGRITY,8,pdf,jv 210 application juvenile court proceedings social worker decision,Legal affidavit to challenge a social worker's decision not to file a petition.,Original,48
A-10,Libananco Holdings Co. Limited v. Turkey - Decision on Preliminary Issues,2008-06-23,OBSTRUCTION,10,pdf,libananco turkey icsid case email interception counsel privilege,Addresses illegal interception of e-mail between client and international counsel.,Copy,49
A-1,Exhibit A-1 to primary filing (part of A-1 to A-87 series),Unknown,INTEGRITY,5,pdf,exhibit a1 primary filing,Part of the primary evidence package submitted by Craig Schulz,Copy,50
A-87,Final exhibit in primary evidence book (A-1 through A-87),Unknown,INTEGRITY,5,pdf,exhibit a87 master index,Completes the evidentiary foundation for the main response,Copy,50
N-1,Photo/note of -22°C car incident where Harper was left unattended,2026-01-04,SAFETY,10,jpg,car incident unattended infant cold,Evidence of immediate life-safety risk and gross negligence,Original - Contemporaneous Notes,50
N-2,Environment Canada weather screenshot confirming -22°C conditions,2026-01-04,SAFETY,9,png,weather screenshot environment canada,Corroborates extreme environmental danger to the child,Screenshot,50
